Date,Sector,Price,Volume,%Change,Volatility
44172,Communication Services,222.35,42.736,0.001170697,0.007776582
44169,Communication Services,220.99,40.97,-0.006116483,0.005152814
44168,Communication Services,220.87,44.317,-0.000543011,0.00394104
44167,Communication Services,221.75,50.175,0.003984244,0.003201253
44166,Communication Services,219.53,55.736,-0.010011274,0.009896326
44165,Communication Services,215.31,98.521,-0.019222885,0.006513593
44162,Communication Services,216.99,23.556,0.007802703,0.019109977
44160,Communication Services,215.65,42.604,-0.0061754,0.009884011
44159,Communication Services,216.17,60.689,0.002411315,0.006071724
44158,Communication Services,211.32,47.084,-0.022436046,0.017569737
44155,Communication Services,211.22,62.233,-0.000473216,0.015530066
44154,Communication Services,212.39,50.022,0.005539248,0.004251454
44153,Communication Services,211.52,46.756,-0.004096238,0.006813318
44152,Communication Services,213.59,48.047,0.009786309,0.009816443
44151,Communication Services,214.49,65.03,0.00421368,0.003940443
44148,Communication Services,213.16,42.956,-0.006200755,0.007364118
44147,Communication Services,210.46,46.953,-0.012666542,0.004572001
44146,Communication Services,211.46,49.308,0.004751497,0.012316413
44145,Communication Services,210.27,68.684,-0.005627542,0.007339089
44144,Communication Services,210.94,99.348,0.003186379,0.006232383
44141,Communication Services,211.48,53.186,0.00255997,0.000442939
44140,Communication Services,211.67,58.001,0.00089843,0.001174886
44139,Communication Services,207.99,73.056,-0.017385553,0.012928728
44138,Communication Services,199.51,52.475,-0.040771191,0.016536143
44137,Communication Services,196.72,66.979,-0.013984261,0.018941219
44134,Communication Services,196.55,86.323,-0.000864172,0.009277304
44133,Communication Services,198.51,62.564,0.009972017,0.007662343
44132,Communication Services,192.98,61.894,-0.027857539,0.026749536
44131,Communication Services,201.08,41.427,0.041973261,0.049377832
44130,Communication Services,199.98,51.539,-0.00547046,0.033547777
44127,Communication Services,204.62,39.848,0.02320232,0.020274717
44126,Communication Services,202.44,56.622,-0.010653895,0.023939959
44125,Communication Services,200.74,59.105,-0.00839755,0.001595477
44124,Communication Services,198.19,44.631,-0.012702999,0.003044412
44123,Communication Services,196.61,51.804,-0.007972148,0.003345217
44120,Communication Services,200.36,46.108,0.019073292,0.019124014
44119,Communication Services,200.34,44.318,-0.0000998203,0.013557438
44118,Communication Services,201.66,51.435,0.006588799,0.004729568
44117,Communication Services,204.07,51.714,0.011950808,0.003791513
44116,Communication Services,203.37,57.818,-0.003430196,0.010876012
44113,Communication Services,198.57,43.745,-0.023602301,0.014263833
44112,Communication Services,197.05,42.985,-0.007654731,0.011276635
44111,Communication Services,195.17,51.74,-0.009540726,0.001333599
44110,Communication Services,193.47,48.434,-0.008710355,0.000587161
44109,Communication Services,197.38,37.383,0.020209852,0.020449674
44106,Communication Services,194.22,47.661,-0.016009727,0.02561111
44105,Communication Services,198.17,51.369,0.020337761,0.025701556
44104,Communication Services,195.49,68.788,-0.013523742,0.023943699
44103,Communication Services,195.26,38.84,-0.001176531,0.008730797
44102,Communication Services,194.71,52.974,-0.002816757,0.001159815
44099,Communication Services,192.42,50.506,-0.011761081,0.006324592
44098,Communication Services,190,50.708,-0.012576655,0.000576698
44097,Communication Services,189.25,67.124,-0.003947368,0.006101827
44096,Communication Services,194.47,64.063,0.027582563,0.022295028
44095,Communication Services,190.89,78.658,-0.018409009,0.032520952
44092,Communication Services,193.19,126.315,0.012048824,0.02153694
44091,Communication Services,195.34,70.429,0.01112894,0.000650456
44090,Communication Services,198.99,62.459,0.018685369,0.005343202
44089,Communication Services,201.42,47.265,0.012211669,0.004577597
44088,Communication Services,198.02,48.99,-0.016880151,0.020571023
44085,Communication Services,197.76,50.105,-0.001312999,0.011007639
44084,Communication Services,198.34,57.89,0.002932848,0.003002267
44083,Communication Services,201.51,57.888,0.015982656,0.009227608
44082,Communication Services,199.68,74.002,-0.009081435,0.017722989
44078,Communication Services,204.6,68.554,0.024639423,0.023844248
44077,Communication Services,208.61,69.223,0.019599218,0.003563963
44076,Communication Services,215.83,56.331,0.034610038,0.010614253
44075,Communication Services,211.21,48.72,-0.021405736,0.039609134
44074,Communication Services,209.04,65.269,-0.010274135,0.007871231
44071,Communication Services,209.9,37.047,0.004114045,0.01017398
44070,Communication Services,209.23,48.965,-0.003191996,0.005166151
44069,Communication Services,211.97,56.459,0.013095636,0.011517095
44068,Communication Services,204.38,37.705,-0.035806954,0.034579353
44067,Communication Services,202.42,50.701,-0.009589979,0.0185382
44064,Communication Services,200.3,44.855,-0.010473273,0.000624583
44063,Communication Services,201.06,40.4,0.003794309,0.010088704
44062,Communication Services,198.34,45.338,-0.0135283,0.012248934
44061,Communication Services,199.24,35.917,0.004537663,0.012774565
44060,Communication Services,197.08,41.089,-0.010841197,0.010874496
44057,Communication Services,196.89,41.326,-0.000964076,0.006984179
44056,Communication Services,197.09,41.265,0.001015796,0.00139998
44055,Communication Services,196.35,45.851,-0.00375463,0.0033732
44054,Communication Services,193.93,60.521,-0.01232493,0.006060117
44053,Communication Services,196.49,62.223,0.013200639,0.018049303
44050,Communication Services,197.39,62.7,0.004580386,0.00609544
44049,Communication Services,197.49,55.068,0.000506611,0.002880594
44048,Communication Services,192.77,51.463,-0.023899944,0.017258041
44047,Communication Services,192.29,48.659,-0.002490014,0.015139107
44046,Communication Services,191.64,55.354,-0.003380311,0.000629535
44043,Communication Services,191.69,89.606,0.000260906,0.002574729
44042,Communication Services,190.22,40.887,-0.007668632,0.00560703
44041,Communication Services,189.62,39.757,-0.003154242,0.003192155
